CODIGO_VENDA;CODIGO_CLIENTE;CODIGO_FORMA_PAGAMENTO;CODIGO_LOJA_VENDEDOR;DATA_VENDA;VALOR_FINAL;TIPO_PAGAMENTO
1;536;2;4;2017-08-24 12:15:49;402.06;A VISTA
2;547;1;14;2019-10-28 13:24:54;569.82;A VISTA
3;492;3;4;2017-02-05 12:41:07;1389.32;A VISTA
4;1044;4;11;2022-02-15 17:47:46;1987.45;A VISTA
5;222;3;14;2022-10-12 15:28:22;277.95;A VISTA
6;980;3;12;2019-03-24 16:09:09;356.4;A VISTA
7;545;4;0;2022-10-18 20:25:25;44.22;PARCELADO
8;321;4;13;2023-06-28 10:51:25;1269.49;A VISTA
9;782;2;14;2021-09-26 15:52:52;458.01;A VISTA
10;1298;2;15;2020-05-10 17:47:57;848.65;A VISTA
11;708;4;6;2023-11-20 17:45:51;3312.12;A VISTA
12;436;1;6;2024-01-07 11:14:40;1567.7;A VISTA
13;1090;1;4;2019-10-26 15:07:29;1321.96;PARCELADO
14;163;4;12;2019-06-22 13:46:08;641.16;A VISTA
15;462;4;14;2017-11-19 15:06:23;42.44;A VISTA
16;549;3;4;2017-04-04 14:20:48;2739.58;A VISTA
17;704;2;3;2018-03-25 10:22:03;2253.49;PARCELADO
18;514;3;0;2017-10-08 11:05:03;1484.97;PARCELADO
19;1007;3;14;2019-01-05 12:29:11;511.14;A VISTA
20;924;1;5;2020-10-26 17:06:36;1552.48;A VISTA
21;406;3;3;2023-08-12 12:26:58;1092.91;A VISTA
22;7;1;12;2019-05-18 09:56:49;842.75;PARCELADO
23;836;3;3;2020-06-06 09:40:24;1399.25;A VISTA
24;533;1;5;2021-09-03 10:26:40;1792.34;PARCELADO
25;298;2;14;2021-07-09 16:42:02;1559.05;A VISTA
26;902;2;2;2019-04-09 17:47:09;1723.51;PARCELADO
27;1344;2;7;2021-07-05 17:40:50;648.95;A VISTA
28;1291;3;15;2017-12-24 17:30:01;3537.56;A VISTA
29;208;4;12;2018-11-17 16:43:26;1209.06;PARCELADO
30;415;3;5;2018-06-11 11:16:23;30.69;PARCELADO
31;76;3;6;2018-09-13 14:37:41;72.29;A VISTA
32;1165;3;14;2017-09-16 16:30:52;785.61;A VISTA
33;1325;2;15;2023-01-19 11:31:11;2414.57;A VISTA
34;683;3;11;2020-04-19 17:02:56;268.33;A VISTA
35;581;3;8;2020-10-21 16:41:19;1569.33;A VISTA
36;342;2;2;2019-08-02 17:14:57;440.24;A VISTA
37;1245;1;15;2023-09-30 11:13:00;2369.56;A VISTA
38;1122;3;1;2023-09-30 11:13:00;1413.85;A VISTA
39;55;3;8;2022-05-15 10:09:21;3016.16;A VISTA
40;551;2;14;2023-06-11 10:41:57;244.35;A VISTA
41;26;4;5;2017-09-24 14:02:58;509.04;A VISTA
42;714;2;13;2023-08-19 11:38:30;407.1;A VISTA
43;652;3;13;2018-07-17 14:39:48;10.02;A VISTA
44;244;3;1;2018-07-17 14:39:48;1896.03;A VISTA
45;136;1;8;2023-05-02 17:34:26;922.59;A VISTA
46;1139;1;10;2019-05-14 14:39:36;740.84;A VISTA
47;690;4;6;2020-12-18 17:08:43;1523.98;PARCELADO
48;890;4;9;2019-07-05 14:45:10;511.01;A VISTA
49;740;3;13;2022-04-01 11:43:49;110.58;A VISTA
50;258;1;9;2019-11-21 11:05:55;296.78;A VISTA
51;1363;2;11;2023-11-05 13:45:40;830.58;A VISTA
52;227;4;3;2022-09-05 16:34:05;676.34;A VISTA
53;131;4;11;2019-12-24 12:26:00;990.29;PARCELADO
54;83;2;12;2022-08-15 11:36:34;1071.16;A VISTA
55;1262;2;8;2024-01-16 14:28:23;1083.21;A VISTA
56;1348;2;4;2021-09-09 16:51:01;31.76;A VISTA
57;611;1;10;2023-02-07 15:44:37;1396.18;A VISTA
58;279;4;10;2023-12-13 10:50:31;796.11;A VISTA
59;1048;4;5;2019-03-13 12:09:34;41.02;A VISTA
60;645;2;4;2023-12-28 11:13:31;912.12;PARCELADO
61;1085;1;1;2023-12-28 11:13:31;934.75;A VISTA
62;648;2;8;2020-07-26 10:57:29;2062.72;A VISTA
63;1116;3;8;2021-11-19 13:32:43;734.88;A VISTA
64;547;4;10;2018-04-25 10:34:46;1148.19;PARCELADO
65;37;3;13;2022-12-14 14:44:03;1016.68;PARCELADO
66;929;1;8;2022-08-26 14:55:46;58.88;A VISTA
67;711;1;7;2021-05-04 15:14:48;1336.87;A VISTA
68;299;1;5;2019-06-05 14:00:43;72.68;A VISTA
69;421;1;5;2018-04-28 09:22:12;60.03;A VISTA
70;1;2;4;2024-01-21 16:09:36;251.32;A VISTA
71;1077;1;7;2021-12-22 11:35:04;1935.36;A VISTA
72;1396;1;8;2021-09-24 12:31:35;1117.47;A VISTA
73;742;4;7;2022-02-15 16:48:50;2650.32;A VISTA
74;480;2;1;2022-02-15 16:48:50;371.3;A VISTA
75;18;1;16;2022-07-23 10:26:47;1154.89;A VISTA
76;188;4;12;2020-02-15 09:27:55;48.63;A VISTA
77;215;4;9;2020-06-26 14:13:31;146.98;PARCELADO
78;107;4;7;2017-04-01 17:34:07;30.47;PARCELADO
79;1296;4;3;2018-10-10 16:34:17;670.47;PARCELADO
80;1129;1;3;2018-01-29 16:21:17;1479.46;A VISTA
81;885;4;14;2021-10-13 11:06:34;932.81;A VISTA
82;730;3;10;2019-07-12 15:16:19;1023.19;A VISTA
83;828;4;12;2017-12-31 15:06:06;858.37;A VISTA
84;957;4;5;2018-03-14 16:57:23;1141.7;A VISTA
85;575;1;0;2021-04-30 16:32:11;938.89;PARCELADO
86;744;2;4;2021-01-20 11:19:26;1451.68;A VISTA
87;281;1;1;2021-01-20 11:19:26;1687.59;PARCELADO
88;1372;4;12;2020-10-24 11:14:46;2871.0;PARCELADO
89;523;4;3;2017-01-08 13:01:15;1024.02;PARCELADO
90;1002;4;14;2018-01-06 13:41:14;573.69;PARCELADO
91;1271;3;1;2018-01-06 13:41:14;909.73;A VISTA
92;424;3;10;2017-09-27 10:12:19;1407.74;PARCELADO
93;569;3;9;2021-07-05 13:35:24;875.11;A VISTA
94;524;3;9;2019-01-30 15:08:13;776.35;A VISTA
95;613;2;0;2017-09-08 19:30:50;2197.5;A VISTA
96;1221;3;8;2020-03-17 09:25:10;225.88;A VISTA
97;781;1;16;2020-07-22 12:29:47;87.9;A VISTA
98;1291;2;13;2021-02-17 11:43:20;2175.55;A VISTA
99;544;1;9;2018-05-02 13:14:25;347.85;A VISTA
100;805;4;5;2018-02-01 12:15:36;338.24;A VISTA
101;1146;4;16;2019-03-12 13:09:22;1468.02;A VISTA
102;301;3;4;2023-04-24 09:19:58;15.72;A VISTA
103;834;4;16;2017-06-04 15:07:38;1166.06;A VISTA
104;64;4;14;2019-04-04 17:33:57;19.56;A VISTA
105;781;4;14;2018-02-27 15:32:47;1871.81;PARCELADO
106;470;4;9;2018-09-27 09:12:46;1111.91;A VISTA
107;453;1;4;2019-04-03 10:10:50;999.18;A VISTA
108;1338;1;12;2018-07-02 12:53:13;242.34;A VISTA
109;29;1;12;2021-08-17 17:43:21;1021.05;A VISTA
110;184;4;3;2023-02-22 10:49:13;242.58;A VISTA
111;635;1;2;2022-04-29 14:58:34;1317.73;A VISTA
112;534;1;7;2021-07-13 09:55:33;1667.62;A VISTA
113;158;3;14;2017-04-23 12:45:02;638.34;A VISTA
114;984;4;4;2023-06-05 12:51:05;438.42;PARCELADO
115;975;2;14;2021-03-10 09:22:18;1398.55;A VISTA
116;665;2;8;2019-08-19 14:42:43;522.92;PARCELADO
117;1208;1;10;2023-11-16 11:26:54;178.92;PARCELADO
118;755;4;11;2022-11-17 14:52:01;228.34;A VISTA
119;229;1;12;2022-08-27 16:20:13;867.28;A VISTA
120;584;3;7;2021-03-16 17:26:29;262.49;A VISTA
121;424;1;3;2023-08-19 10:39:20;124.62;PARCELADO
122;836;3;11;2019-07-08 17:35:27;300.94;A VISTA
123;270;3;10;2020-05-30 11:38:25;417.95;PARCELADO
124;437;4;11;2018-04-13 17:08:24;931.0;A VISTA
125;175;3;0;2017-12-15 09:49:19;53.58;PARCELADO
126;183;3;7;2020-04-23 17:15:38;1529.66;A VISTA
127;401;4;15;2019-11-02 12:54:31;314.58;A VISTA
128;1341;1;0;2017-08-31 20:40:14;35.31;A VISTA
129;745;2;4;2019-07-19 12:34:24;1367.87;A VISTA
130;878;2;6;2018-06-08 15:27:39;502.02;A VISTA
131;517;3;10;2019-07-07 09:38:45;788.11;A VISTA
132;688;3;4;2018-04-16 13:49:30;1735.26;PARCELADO
133;462;1;6;2017-07-20 15:18:17;841.84;PARCELADO
134;1366;2;6;2017-11-14 13:04:14;1591.01;A VISTA
135;396;2;15;2019-03-05 16:15:18;3730.03;A VISTA
136;828;2;8;2019-01-14 16:02:48;933.38;PARCELADO
137;9;2;14;2023-06-08 17:40:14;1536.75;PARCELADO
138;299;2;5;2021-07-07 11:39:03;1118.7;A VISTA
139;377;4;10;2021-09-06 11:29:29;15.78;A VISTA
140;1003;2;1;2021-09-06 11:29:29;1492.4;A VISTA
141;1192;4;4;2021-04-15 15:38:43;642.31;A VISTA
142;811;3;7;2018-12-07 12:08:29;353.93;A VISTA
143;547;2;11;2017-08-27 13:48:28;1729.09;A VISTA
144;241;3;3;2020-09-17 16:31:19;778.76;A VISTA
145;928;1;11;2018-08-21 16:04:53;1830.1;PARCELADO
146;6;3;8;2021-01-19 11:17:04;2267.71;A VISTA
147;483;3;15;2023-06-02 15:53:33;833.4;A VISTA
148;1020;1;0;2020-07-13 02:54:45;456.6;A VISTA
149;885;2;3;2022-10-03 10:56:33;1288.85;A VISTA
150;439;4;8;2018-01-08 14:36:51;575.68;A VISTA
151;409;3;13;2017-10-07 17:14:02;2687.12;A VISTA
152;886;3;5;2017-08-07 17:06:31;410.19;A VISTA
153;90;2;8;2019-11-14 09:34:46;755.4;A VISTA
154;626;4;7;2020-02-07 17:13:22;11.78;PARCELADO
155;118;4;10;2018-10-09 16:12:15;1320.9;PARCELADO
156;1375;2;6;2020-10-12 14:56:57;1064.12;A VISTA
157;429;3;3;2017-02-18 14:01:31;478.54;A VISTA
158;1002;2;0;2019-12-25 05:14:21;2451.32;A VISTA
159;916;3;5;2019-12-09 13:44:48;48.48;A VISTA
160;527;1;2;2021-03-11 14:05:05;324.79;A VISTA
161;260;4;8;2021-06-06 16:23:11;1740.22;A VISTA
162;1;2;3;2017-07-19 13:18:05;554.62;A VISTA
163;1249;1;13;2021-08-06 11:14:00;422.26;A VISTA
164;1327;2;0;2019-12-01 19:24:10;289.13;PARCELADO
165;327;4;16;2018-11-07 15:06:27;246.92;A VISTA
166;786;1;1;2018-11-07 15:06:27;483.91;A VISTA
167;1126;3;10;2019-10-29 10:29:56;1146.49;A VISTA
168;355;3;3;2019-08-15 10:22:44;2346.05;PARCELADO
169;232;3;1;2019-08-15 10:22:44;1201.32;PARCELADO
170;952;4;1;2019-08-15 10:22:44;1572.0;A VISTA
171;584;3;4;2017-03-26 11:33:28;1154.29;PARCELADO
